company_name,ID,rating,title,author,description
Abbvie,1fh9qet2po2id800,3,The most average big pharma ,Sr. Scientist,"Great place if you want to chill out, but you are not learning much.  No innovation, just a bunch of ""me, too"" drugs. Compensation is not great.  Average salary, no stock program for entry level scientist.  No ESPP.  5% 401K matching.  No other benefits. "
Abbvie,1fh673h59t49t802,3,Nice place to work,Insurance Specialist I,Friendly ppl training was not so good had to learn a lot on your own. Overall it is a great company though. It is hard to get a full time position here though.
Abbvie,1fgaommlnsa1l800,2,Only work here if you are offered a full time employee position,Contractor/Chemist,"This contracting experience was honestly the worst I have ever went through. I was told that contractors would have an easier time getting a full time position because they got their foot in the door. But no. I joined and a few months later they said there is a hiring freeze through 2023. Full time employees there take breakfast and lunch breaks and coffee breaks throughout the day. They really only have to work a few hours since they put all the work on contractors. In just a few months, an older employee hit on me and my supervisor said degrading things about me to my face and my superiors. I went to hr after my supervisor tried to physically intimidate me. Hr did a great job. They were able to keep both employees away from me until I left. "
Abbvie,1ffq3diqku412802,3,Total Boys Club,Administrative Assistant,"Unless you're friends with Upper Mgmt, you will go nowhere.  The admin culture at AbbVie is incredibly clicky, hypocritical and two-faced.  Don't bother complaining to mgmt, they don't care.  There are rules for you, and then there are rules for everyone else - and they are very different!"
Abbvie,1fe1e5u503od8002,1,They took the one positive they had and flushed it.  The Pension.,Scientist I,"Salaried employees are expected to work well past a typical 40hr week.  Severely understaffed in expertise to do the job.  Leaving those of us with experience to pick up the slack.  Typical work week 60-70 hours average which turns the nice salary to being severely under paid.Contractors are run into the ground until they leave, taking more rss away from fte's to train new ppl.  It's a revolving door and you don't get hired."
Abbvie,1fdt5cc2p3od8000,3,Roller coaster ride,Systems Engineer,"Job can be boringly slow at times, but when busy, it is overwhelmingly chaotic.  Great benefits and pay, but can take a while to get to reasonable level.   In general, a good work/life balance.  "
Abbvie,1fdmpurpanq1d802,5,Great company. Extra things for the employees all the time ,Packaging Operator,"Great place to work. Always doing nice things for the employees. Picnics, raffles, breakfast. Giving away mugs, tee shirts, back packs, etc. Great company to work for. "
Abbvie,1fdkd4v0vu29d802,1,Departments take zero responsibility for their own job and pass work to others to do ,Senior Writer/Editor,"Many people have quit - and are still quitting-mass exodus. They keep on doing employee surveys cuz they know something\xe2\x80\x99s wrong. We tell them but they don\xe2\x80\x99t change anything. People left and got other jobs This is why: No accountability for other departments who constantly pass the baton to you to do their job. This is BIG part of culture here When you tell your manager about it, INSTEAD  of your manager making other departments accountable for their own jobs, you are told to just do other people\xe2\x80\x99s work to not rock the boat. Like the managers are even intimidated to talk to other departments and therefore enable this stuff! That says a lot about even the culture for management . Are they not allowed to speak up too? What\xe2\x80\x99s all that about?Zero empowerment- like trying to beat you into submission, probably to convince you that you will never be good enough to go anywhere else to work Convoluted ridiculous time consuming internal procedures where you can spend literally days  on end trying to sort through it all just to find  out what to do or how to do something because god forbid you ask someone how So I left. I had to get out - like many others. Stress was not worth it. My kids noticed too. This place is run by dinosaurs in twilight zone who rather let their direct teports do work beyond their scope (aka other people\xe2\x80\x99s work) instead of getting other depts off their back. My boss was supersurprized when I said I quit  because I just put up with it all. It\xe2\x80\x99s ironic cuz I told my boss how I felt all along. Don\xe2\x80\x99t be fooled by all the marketing stuff- this place is not"
Abbvie,1fcj3v7jst52g800,5,Excelente.,Pharmaceutical Operator I Spectraforce,Me siento muy feliz de haber trabajado en Abbvie y espero regresar nuevamente con ellos.
Abbvie,1fcf8vp79u4nb800,2,Stay away from operator positions!,Biologics Operator II,"I would guess for some people this could be a great place to work, but for Biologics Operator is a nightmare. Only eight free weekends a year. Management could not be more clueless about the operation and could not care less for Operators work life balance. Compensation and raises are mediocre at best. Stay Away!"
Abbvie,1fag4imlet4lp802,5,Great work culture and collaboration,IT Help Desk Analyst,"I got a a chance to help others, with the comradery of a strong team-oriented environment. With fair compensation and respect shared among others, I have no real complaints. Would recommend.   "
Abbvie,1fafg661uu2hu800,2,See below,PSS,"It was good until we started making too much money then they changed up the rules an it continued to change up WEEKLY., and was not transparent until AFTER you lost bonuses each month. There is so much to say, but I don't want to bring back bad memories in my mind."
Abbvie,1fa67lu43s7io800,5,Great Company Overall and looking to expand!,Accounting Lead,I worked in Abbvie in Puerto Rico and in Headquarters in Illinois. Great environment. People are always wiling to help. During COVID-19 they do a great job. I was working remotely for year and half. I left the company because of family matters and I moved from IL.  A company that you can be there for a while.
Abbvie,1f947h6vbo26d801,5,Very friendl5 helpful coworkers ,Executive Assistant,This was the first temp job of this caliber I had taken.7 was very impressed with myself with the 3ase I learned their policies and travel/expense system
Abbvie,1f8rdvephs9u0800,3,No work life balance.,Contractor,"Abbvie is a great company for benefits (besides some recent benefit changes). However, there is no work/life balance. You are expected to work ridiculous periods of overtime due to understaffing. Moving up shifts is supposed to be seniority based but recently it's all who you know. There is a high turnover rate with the contractors because of communication. Contractor's aren't told about the possible shift changes, extended hours, lack of being hired in etc... Not everyone can afford to remain a contractor with no health insurance. It just isnt realistic. We are real people who leave real permanent jobs for the chance of being a hired Abbvie employee, so when we find out there are hiring freezes it is a punch to the gut after leaving permanent work with full benefits. The schedule changes can put a strain on your personal life, but Abbvie doesnt seem to care about that. The Administrators who decide these schedule changes do not have to adhere to the changes themselves, so it doesn't affect them. Unfortunately, these issues will cause more great employees to leave and moral to keep going down. "
Abbvie,1f7vh1q48u1m4800,5,Good place to work,Workforce Analyst,Good company to work. Good work life balance and great manager. The location is far from Chicago hence you'll find less people in Waukegan. I'd prefer to travel.
Abbvie,1f7god0idu2ud800,1,Terrible place to work,Fermentation Operator,"Management does not care about their employees. They will run you into the ground until the wheels fall off as long as you keep pushing out product and making them money. Everyone on shift is mentally and physically exhausted. Despite the fact that we are severely undermanned, upper management continues to increase our workload. Overtime is mandatory every single week just to keep the place running with some operators covering two or more jobs. Unless you can stomach not having a personal life at all for the benefits they provide don't even bother."
Abbvie,1f7csvhu3u2ud800,5,Great place to work,Medical Safety Specialist,I had the best management team when I worked in the PDI Department. My managers always were looking out for me and supported all my decisions.  Constructive criticism was provided with care. Benefits amazing.  Great place to work.
Abbvie,1f7aegml3u26j800,1,Disappointed ,Contractor,"I joined not too long ago. Disappointed with poor company culture and very old school management style. They like to see you sitting on your desk, say yes to all managers request, follow their rules and play their games. They call new inventions as \xe2\x80\x9csuperficial\xe2\x80\x9d. They live in the 1920s basically. They force people to work in the office. No flexibility at all. Besides the good benefits and fare pay, nothing else is good.  "
Abbvie,1f74n0jv13obs000,1,AP16 2nd shift employee 1 year service,production blister ,Working at AbbVie was one of the hardest yet easy job there is. When i became an employee my work had increased and yet my co workers attitude had changed over time. They see you as a expendable employee. one who will work a tons of hours and be mistreated only to get the job done on time. My stress was over the roof and finally i quit. i worked 2nd shift. although  the pay was good I used this reason specifically to pay some debt I owned.one warning you should take it by heart is that This place wont treat you fairly even thought your by the compony there's always drama on the floor. issues to be dealt regarding lazy people not following orders. Ap16 managers are always constantly changing since they get promoted every 2 years. working on the medical company's all my life some will treat you like a family in my experience this isn't it even thought they have a banner and all. 
Abbvie,1f6stb39nhijp800,4,Good Pay and Pension but lots of silly busy work,Specialty Representative,"It's great to have a pension, but you could probably make more money elsewhere and come out ahead, which is not to say it pays poorly.  It pays well, but not top of biotech.  "
Abbvie,1f6lruoavn5f6800,5,Culture ,Scientist,Everyone at abbvie is brilliant and they work so hard and are always so happy. It's a good environment if you have a certain mindset. Be a team player. 
Abbvie,1f6ik81hpu1pa800,4,Overall Good,Associate Director Learning, There is a lot of hard work and people work many more then 40 hours a week. Leadership can be a bit micro managing and there is a definite hierarchy in at least my organization. 
Abbvie,1f617pad8u3n3800,3,A decent company but you will hate working there ,Maintenance Supervisor,The work culture is horrible. You grind day in and day out. The employees are miserable and it comes out in every day work days. The manager I had was probably the least ethical person I had ever met. It\xe2\x80\x99s definitely a who you know not what you know company
Abbvie,1f5m4ulnru3af800,4,Intern,Intern,"Remote intern - great team, helpful mentors, but because we were not able to go into the lab during the summer of 2020, the project was a little boring as it didn't involve any experimentation"
Abbvie,1f5gpqk7uu2n1800,4,Productive high paced highly visible activities,Senior Project Manager (Consultant) - through SGS Consulting,Work days vary due to global sites and time zones. I've learned many details about the pharma industry and continue to grow in the space. Management is thin but provide guidance and solid team to work with. The hardest part of the job as a PM is keeping budgets (financials are challenging - monthly time reporting not aligned with invoice calendar dates). It has gotten significantly better (5 sources of truth down to 2) but the process seems to work. The most enjoyable part of this assignment is colleague comradery. I've made many friends over the past 2 years.
Abbvie,1f3deitffu3dj800,5,Good company but contractors don’t have a secure job ,Clinical Drug Supply Associate I,Contractors don\xe2\x80\x99t have a secure job but overall company is a good one to work for and pays well for the work that is done.  Management is fair and you feel valued 
Abbvie,1f373valuu1v3800,5,Good company,GMP Production Specialist,Good company. Professional environment. Great workplace culture. Good management. Excellent coworkers. Good trainings. Excellent benefits for regular employees.
Abbvie,1f31jvcnhu1v3800,3,Benefits ,Finishing specialist,"Good company but management dont care about people who been there for years, better hourly pay for a new employees and contractors but for who been there for years no recognition"
Abbvie,1f2sd7l97u1v3800,4,Great pay and work/life balance,Intern,"Good place to work and would recommend overall. Great pay, perks, and work/life balance. Big emphasis on safety. A bit political like most large corporations. "
Abbvie,1f10aq0ert4l2800,4,Decent workplace with great pay,Finance Development Program,Overall AbbVie is a good place to work. Some of the managers are really good and others are not the best. If you are a member of the Finance Development Program they take good care of you and provide development opportunities and career advancement! 
Abbvie,1f01ma662u3jt800,4,Excellent Industry Leader & Employer!,Project Manager,"VERY proud to be an 11+ year employee of Abbvie.  As industry leaders they promote fairness, diversity, and an open commitment to not only the primary needs and focus of their patients, but also of their people.  Abbvie's continued focus towards diversity and inclusion is exceptional and they consistently raise the bar as an employer and example to follow in the Pharma industry."
Abbvie,1evuounn5u1sg800,4,Lots of Ego,Contract Project Manager,"This company has a lots of smart people working for it. However, this seems to cause a lot of ego and less collaborative environment. People speak over each other and are always late to meetings. Management doesn\xe2\x80\x99t read email and complain they did not know about things. On the plus side they are flexible with schedules and provide necessary resources."
Abbvie,1eu1admrbt48m800,4,Innovative,Program Manager Consultant,"This organization is always seeking to be an innovative leader in its industry, as a result, there is never a dull moment. If you like to work on fun projects where you are always thinking on your feet this is the place for you. There is also room for you to be a game-changer there through being innovative in your role to improve your teams' outcomes or the organizational outcomes. "
Abbvie,1etqeb5tlu221800,2,"Waco TX Production plant, poor leadership",Lead Technician,"People in QA treat everyone like they intentionally do things wrong. Batch records are overly complicated. Management only cares about production counts. Line workers are not paid enough to take pride in their work. Equipment mechanics are not properly trained, nor have the recourses to fix old equipment. Few people there have ever worked in the pharma industry else where and think their way is the right way. "
Abbvie,1etqa4na9u221800,4,"Good place to work, good pay",Sr. Manufacturing Supervisor,I have worked for 7 years now and have been working in different roles related with the manufacturing area. They do not know what is work and life balance however they provide a good pay. Peers and coworkers are great and have knowledge on what they do. Ambient is great and sometimes a little stressful Overall it is a good place to work and good benefits.
Abbvie,1etjl687bu312800,3,Poor talent retention,Pharmacovigilance Specialist,"The company does a great job providing resources for employees to develop, but does a poor job promoting their talent or being proactive about putting the employee in a position to succeed."
Abbvie,1et75fjsfpi26800,3,Good place to work if you're okay with less pay,Data Scientist,"Innovative work with definite impact. AbbVie is big pharma and has all of the major resources. Work-Life Balance is amazing and there are recreational activities as well. Management for the most part is good. However, AbbVie is not inclusive of people who are non-citizens and those who require sponsorship. The pay is below average."
Abbvie,1esim01mlu3cn800,1,Terrible!,Pharmacy Solutions,"Terrible! Poor management, they hire friends and only promote friends. They prefer contractors vs employees, and will push people out. Most supervisors are unprofessional"
Abbvie,1ertpf6g8s7mj800,4,Good place with good pay and retirement,Calibration  Coordinator,"It's a very good company to work for with great benefits and a lot of work.Expect to work a lot with high stress and a lot of training. You are not here to make friends but to work and respect your coworkers. Work hard play hard, this place will reward you in the long run. This is probably a better place to work than most companies out there. "
Abbvie,1eq6lieneu49m800,4,Productive and fun place to work at but poor compensation,Supply Chain and Reliability Engineering Co-op,"It's a growing company and you will learn a lot as far as the entire bioprocess operations are concerned. The culture is amazing, people are friendly and respectable. They need to work on their management and have a better onboarding process."
Abbvie,1ep3un8l2t4h0800,3,Highly political environment and club.,Associate Director,"Highly political environment, you need to be best buddies with Director level or higher,They will reward their friends and give bad reviews for others"
Abbvie,1eo8vptbbu2no800,5,Remote internship ,Intern,"Worked with the cell culture team to optimize sample information entry into barcodes that were in a printable and human-readable format Diverse work culture, helped me with all my doubts "
Abbvie,1elrqibj4u2u5800,4,Great place to work,Manufacturing Technician II,"Abbvie is a strong, rewarding company to work for. Promotion system is not difficult. Many different sports teams, clubs and events to participate in after work and most are company paid."
Abbvie,1elmfnrqju2j4800,5,Productive and Encouraging ,Ambassador,I have enjoyed this new role. It is challenging and competitive but not toxic. Management is very hands on and a learning environment is encouraged highly. Lots of feedback on how to succeed. This company invests a lot of time training and mentoring their new staff. 
Abbvie,1ekms3k5gu1qi800,1,Poor management,Executive Sales Representative,The culture of the company is to not look out for their people. District managers bully representatives into uncomfortable tasks.  it\xe2\x80\x99s good pay if you can handle the additional undue stress placed upon yourself
Abbvie,1ekepr54b3oh3000,5,Productive workplace,"Middleware Engineer, Infrastructure Specialist","Very large but very good company, work life balance was at times challenging. Great coworkers, management was for the most part very encouraging to workers"
Abbvie,1ekenb3j1o2hc800,5,Great,"Territory Manager, Cardiology and Metabolic Specialty Sales, Rochester, NY",Abbvie is a great place to work! I learned a lot from working there and if given the opportunity I would go back to work for them. Abbive has built a a wonderful culture 
Abbvie,1ekdf9jq6u3t5800,1,Just Walk Away. It’s Not Worth It.,Patient Care Coordinator,Abbvie is the most unprofessional and disrespectful workplace I\xe2\x80\x99ve ever experienced. The leadership team has been nothing but condescending and careless during the COVID-19 outbreak. Work from home was immediately enforced on all agents once the pandemic hit however new hires were forced to stay in the office and perform tasks not associated with the job they were initially hired for all while be put at high risk of a serious virus. You can expect to always be wrong even when your right and your job performance is never going to be good enough since there\xe2\x80\x99s always room for improvement. Favoritism is so ridiculously obvious in this workplace and if you wanna move up within the company you gotta be willing to suck up to management and throw your peers under the bus. I\xe2\x80\x99ve witnessed agents walk out during the middle of their shifts because of the amount of work and stress they force on their employees is just not worth the long mandatory hours. They do not care about their agents and if they decide to hire you they will not care about you. I truly regret accepting this position and once I get out I will be walking away and never looking back.
Abbvie,1ek4dafc33o71000,1,Not a good place for work,Lab Technician II,"Not a very pleasant place to work. If you are not friendly with the manager, you won\xe2\x80\x99t get recognized.  They only give opportunities to their preferred employees. "
Abbvie,1eju6h6uhu1i6800,5,Great Culture ,Technician,I worked at Abbvie for three years. I had to leave because my husband was in the military. Benefits were second to none. Location wasn\xe2\x80\x99t that great but oh well.
Abbvie,1ejt3u6feu2v7800,5,An awesome place to be,Contracted Graphic Designer,I worked here as a contracted UI/UX Designer and general purpose graphic designer and I loved it! My time working there I learned so much along with making alot of connections.
Abbvie,1ejic3i5lu1l6800,2,Its a company were a select group controll the enviorment.,Sales Representative,Not a good place to work. They have a small group of friends that get all the credit. Hostail work enviorment. The awards are a hoax; it is an exuse to give lavish trips for the mannagers and thier friends.
Abbvie,1ej1eq1sqsqbl800,2,Patchwork Culture,Senior Manager,"AbbVie tries to present itself as an inclusive company with a strong culture, that may be true for some working groups but many have a toxic, unsupportive and limiting culture.  Insiders blames this on \xe2\x80\x9cLegacy Abbott\xe2\x80\x9d personnel, but since poor behavior is not corrected it persist and therefore it is ultimatley AbbVie\xe2\x80\x99s fault that it is accepted.  Overall it is a good company due to its good benefits and strong science, but if you find your self looking a job here ask a lot of questions about culture to make sure that the job is on a team that values culture and doesn\xe2\x80\x99t just repeat the corporate script."
Abbvie,1eiffhagcocr4800,5,"Great company culture, very rewarding",Associate Medical Director,"I enjoy working at AbbVie. Team spirit and company culture is strong, and everyone is in it for the right reasons. The science is solid and people overall bring their best every day. "
Abbvie,1ei900iatof3u800,5,Productively and Team members Oriented ,Scientist (Contractor),"The best company Job Work / life Balance is at Jayuya site. this site has been very helpful for Pharmaceuticals Manufacturing of Synthroid dose for the Word of Healthcare, and during the period of time I was working on the production transfer to Barceloneta sites. Reviewing Documentation and Protocols for Validations Processes are aligned with corporations Guidelines'."
Abbvie,1eh66brcprasm800,5,"Great place to work, very research focused environment",Experiential Graduate Intern (DMPK-TM),AbbVie is a great place to work. I worked there as a summer intern and liked very much. Very research focused environment and very helpful people. Great orientation.
Abbvie,1ef3a4jhloe9o800,5,"Great workplace, serious business.",DC Operations PM,Great place to work. I was lucky to be a part of an excellent team. Everyone in my team and people I need to work with are very knowledgeable and professional. This makes it easier to get things done.
Abbvie,1eef3fu4vrmhb800,2,Na,Regulatory Affairs Associate I,Management is terrible. Racial injustice overall. You will stay a contractor for as long as you please unless you fake to be social with everyone then you might become an employee. As a contractor you are treated very poorly unless you get a good group which can be hard.
Abbvie,1eebns1vjrmja800,3,Not very pleasant work environment.,Senior GTS Consultant,Upper management needs to take interest at lower level and should review the work culture in the company.\rThere should be strict policies for Abbvie employees behavior and code of conduct.\rEmployees should have fear that they have to pay price if they misconduct.
Abbvie,1ee19gulssemq800,4,Good place to gain knowledge,IT Compliance Analyst,management is good and work culture is good. All collegues are friendly  and supportive. New  technology can be learned and intense training. Some challenges are critical.
Abbvie,1ect56qjhpch5800,5,Great team!,Medical Safety Analyst,"I am a contractor, working at AbbVie. Although there is a slight divide between employees and contractors, it\xe2\x80\x99s not enough to make a difference to me personally. The team atmosphere is supportive and enthusiastic. Training is available at every turn and continued learning is a huge priority here. All in all, a fabulous company, with fabulous employees."
Abbvie,1eblovbk0rbu4801,3,not one raise in salary for the 5 years I was there.,Technical Support,You could find yourself on contract and no raise in salary for well over 10 years.The more benefits you require the smaller your salary gets. \r   Other than that a nice place to work.
Abbvie,1ebfim3qcqh39800,4,Abbvie was a very great place. I had great people to work with. All of them were helpful.,Histologist,I worked as a contractor. I worked in dern department.. I was cutting mouse skin tissue. I worked s a histologist.\r The position was cut because of budget issues due to Covid.19.
Abbvie,1ea1bd88upar9800,5,one of the best places to work if not the best,Project Coordinator,"after leaving department of defense, never thought i would find a place where i would be happy.  Abbvie was even better than that.  it was pretty amazing people, it was everyone not just a few.  Also every department i had to work with.  pay, benefits, are great.\r tough part is getting hired!"
Abbvie,1e9u833kvqm9j800,1,Poor Management,Patient Care Coordinator,Managers aren't inclusive they focus on the group of people they have known or favored the longest. GROWING UP IN THE LC area I had high Hope's for this job.  But the amount of disrespect and unprofessionalism in the work place makes for a stressful work environment.  Then they say temp to hire but rarely so they hire on. \r temp for 3+ years
Abbvie,1e9gv7vq0qg28800,4,Good environment,System Architect / Business Analyst,"I would like to continue working at AbbVie. Good environment knowledgeable co-workers, interesting projects, good location for me,\reasy access to this location."
Abbvie,1e9c5ab5rr4ut800,5,Technologically advanced,Sr. IT Project Manager,"Proper guidance, right tools and well established expectation. \rExciting but not stressful. \rPeople are supportive in most cases. \rSafe and healthy working environment."
Abbvie,1e8pn90vrhe6a800,4,Pockets of greatness,Employee Relations Specialist,"My work changed a lot in the name of being agile, but it was inconsistent and the messaging was off.  AbbVie is not clear on what they want from their employees only that they want more year in and year out.  Not sustainable for long term success.  Short stints is where people had the most success."
Abbvie,1e85s1okjp421800,5,Laid back work environment.,Security Administrator,"While working at here I am given my work, and they let me work at my pace, and are very supportive, and helpful when required. They provide the space you need when working, and will be there if you need."
Abbvie,1e7nksp57nlcr800,5,Productive,Sr. Data Scientist,It was a great experience working with Abbvie. Good long term company. AbbVie offers employees good benefits. They offer many programs to enhance culture and any social activities are encouraged.
Abbvie,1e70rprt2hdcq800,3,Excellent benefits package for employees,Desktop Technician,"I am diligently trying to become an Employee with Abbvie, but there aren't positions available since nobody wants to leave the company! People love working for Abbvie as employees because they treat them well."
Abbvie,1e6f9c18nou8n800,3,I worked as a contractor so the benefits did not apply to me.,HR Contractor,A lot of the diversity talk was simply that.  I worked with some great people on really great projects but overall AbbVie is still a conservative company.  Hiring managers seem to value homogenous environments.
Abbvie,1e6b7ebq6on2q800,4,Work culture,Senior Salesforce Administrator,"Can learn a lot of new things regarding work experience, new technologies, HIPAA. Abbvie is a large business group where lot of teams work. It is a good opportunity to work at Abbvie, which is a large organization."
Abbvie,1e5smdmeko1sr800,4,Productive and fun workplace with great people,McAfee End-Point Security Specialist - Desktop Engineering Group,"Great workplace. Great Benefits, Pay could be better. The people are great to work with they are tight and close with one another. I was there for over 4 years."
Abbvie,1e5lm0tk530av001,1,Absolutely Abusive environment,Clinical Safety Analyst,"Contractor are treated poorly, extremely abusive management, you can not express your opinion because you will disappear immediately, no fundamental democracy in this company.."
Abbvie,1e5ijfdhro1eu801,5,Productive and comfortable workplace,Summer Intern,All the colleagues are helpful and kind and respectful.\rThe working environment is comfortable and convenient.\rI learned when you need help you should speak up and your colleagues always helpful.
Abbvie,1e58arcjho1ps803,4,"Great people, great products",Development,Great committed people motivated to do the best work possible for patients.  The company is very philanthropic and has established good stated values.
Abbvie,1e4sb5fiq33mm002,5,Positive experience. Cares about branding.,Technical Writer/Videographer/Communications Specialist,Professional culture. Friendly co-workers. Look forward to going to work. New technologies. Strong collaboration. Great tools for remote communication.
Abbvie,1e4muo1dboc9b803,3,Ability to move to different functional areas within the company.,Senior Business System Analyst,The ability to move throughout the company with the right leadership support. Someone that want to see you grow and won't hold you back from moving up.
Abbvie,1e4mt5m10305n003,5,Good place to work,Sr Business Analyst,Great company to work with and great projects I have worked. Once worked in this company one can look for great opportunities in the market. I have worked with 3 different departments within Abbvie and had great experience. Great Pharma company to work with.
Abbvie,1e4m6j7f2ou7p800,1,Northern Illinois,Assistant Director,It was not so much the work but the upper management and disrespect of direct reports and subordinates.\r No clear line of reporting or anticipated work requirements.
Abbvie,1e4m331v1o24h803,3,Work/Life Balance,"Administrative Assistant, Global Business Services",Could use overhaul with work/life balance. Always behind times from other companies.  I don't feel contractors should be treated as a separate entity from permanent employees.
Abbvie,1e4eq3s45p3la803,5,Good,Senior Java Developer,"I learned so many things from Abbvie .Every one is so friendly with me .\rIf got any opportunity to work with Abbvie ,surely i won't loose it.\rThank you so much"
Abbvie,1e4co4uj2q2pv803,5,"The company itself is stellar and I'm proud to work for it, but the management leaves A LOT to be desired.",Analyst,"I'm still looking for a manager that isn't afraid of an employee that questions the status quo, is passionate for quality and brings aggressive ideas to the table."
Abbvie,1e45fbfo8p3kt802,4,AbbVie is a great place to work,Senior Specialty District Manger,AbbVie is a great BioPharma Company. Offering sales opportunities for the right sales representative. With numerous franchises and disease states. Recommended
Abbvie,1e44tl6cghd8r800,5,"Interesting work, patient centric. Full of very dedicated passionate people.",Brand Business Systems Consultant,"I really enjoy working at AbbVie, I feel challenged every day. Everyone is very direct and passionate about what they do. There is just a ton of work and I spend a lot of time after work and on weekends working which I don't particularly enjoy (at least not all the time anyway)."
Abbvie,1e43qu4koo25v803,4,Nice environment,Technician/Chemist II,"Hours are flexible and workload can vary day to day. They teach you really good fundamentals, especially with GMP training.The best advice I could give is to diversify your skills and try not to let managers put you into a position that is too specialized which can hurt if you want to move out of the group into a more permanent position"
Abbvie,1e41nguq2hd8g802,4,Job satisfaction,Validation Test Analyst/Lead (consultant),Good working environment with supportive people. Able to use my education and working skills at work. I love to work again with same group of people with same kind of exciting work.
Abbvie,1e3vj99ohou9h800,5,Excellent Place To Work!,Contract Attorney,I had a great time at Abbvie as Abbvie truly cares for it's employees. I was on a 6-month contract there and had to take a few weeks off for paternity leave and Abbvie was fully cooperative and suppo
Abbvie,1e3vgd565ou9h802,4,Great company,Manufacturing Technician III,"Overall great company to work for. Very patient centric, ever evolving culture, good benefits, good work life balance. Could improve communication and have less unnecessary meetings"
Abbvie,1e3v2avnoo21u804,4,great atmospheres very diversity employs,SAP MM Functional Consultant,great company to work closed to home good IT team and good learn lot in this company mostly about medicine and some another knowledge about \rchemicals and much more
Abbvie,1e3nkg10votqb803,4,Overall lucrative place to work,Director,Salary and benefits are highly competitive but you will be required to work hard.  Can be a highly pressured environment with a lot of firedrills.  Overall a lot of smart people.  A fair amount of hierarchy.
Abbvie,1e3n9g30notqb800,3,Constantly have the feeling as if no one cares,Line Operator,After going to more than 5 managers nothing gets resolved and you get misleading answers. Never straight forward because they are just trying to keep everyone happy.
Abbvie,1e3e7ijrs7ii8803,4,Good workplace to begin your career,Senior Scientist,You will learn a lot given the fast-paced nature of your work in process research and development. Good career development opportunities are presented to you along with great benefits
Abbvie,1e3aug2ococvt802,1,dont wish to,Desktop Support Technician,I do not wish to leave any comments about this position. I feel that my rating should speak for itself in its complete entirety. So this should not be necessary.
Abbvie,1e2qq3qu7hb19804,2,Working Location is not flexible,Senior IT Project Manager,The environment is very much work in the office.  There is a huge assumption that resources know how the pharmacy runs as a whole which is not necessarily the case.
Abbvie,1e2pidr6j48gq806,5,Buen ambiente de trabajo,Laboratory Technician III,"Buen ambiente, Excelentes profesionales y compa\xc3\xb1eros."
Abbvie,1e2i4g34kolrc803,4,Flexible and friendly work environment with an emphasis on education,DevOps Software Intern,"I've learned a lot over the course of my year at AbbVie, through exposure to new tools and projects. Flexibility on work hours and location is a plus."
Abbvie,1e2ha54uchbi8802,5,Nice team to work with,Support Operations Associate / Information Specialist,"Very nice place and people to work with, flexible schedule, very supportive management, appreciate work environment, Motivation for adapting new skills"
